t,x1,y1,x2,y2,x3,y3
0.00,0.24300335085308488736,-0.94449930155510686269,-0.93946206442992419294,0.26180257573403870053,0.69645871357683941660,0.68269672582106777359
0.02,0.22407824852006219540,-0.94922820576630428935,-0.93409491144931011686,0.28055113458161784479,0.71001181832594628673,0.66866884292243167209
0.04,0.20508642375239607980,-0.95369390803179210359,-0.92846669853561347718,0.29921485422500115892,0.72336067934689229908,0.65444627353718909379
0.06,0.18603317736001717675,-0.95789521952722866960,-0.92257926683387325717,0.31778856052950038569,0.73650151598796009811,0.64003321012460323569
0.08,0.16692383914311550996,-0.96183112084010657927,-0.91643461799810166379,0.33626714590294265461,0.74943068618053643171,0.62543395782042709996
0.10,0.14776375805253236240,-0.96550076257238259814,-0.91003490940183562330,0.35464557803531071567,0.76214469200467549470,0.61065292583627417411
0.12,0.12855830218976041501,-0.96890346534047722127,-0.90338245413813644813,0.37291889989874321687,0.77464017968909870682,0.59569462745961887506
0.14,0.10931252950588135620,-0.97203833391660099394,-0.89647921350111758887,0.39108230333552534974,0.78691375828555620853,0.58056318507015269859
0.16,0.09003170230911540506,-0.97490482297598568540,-0.88932755819359343707,0.40913099406617614573,0.79896224936382487236,0.56526308457198282120
0.18,0.07072145441698995949,-0.97750300205253104480,-0.88193058503128241021,0.42706019158750363474,0.81078284160572577921,0.54979946189674533397
0.20,0.05138734607015182920,-0.97983306941626968634,-0.87429146125651990840,0.44486524772391644600,0.82237287777915613063,0.53417745204360178590
0.22,0.03203486393236722185,-0.98189535207336731126,-0.86641342453825798131,0.46254164662742358605,0.83372985473809002599,0.51840218907923907299
0.24,0.01266942109052163201,-0.98369030576612259686,-0.85829978297206555027,0.48008500477763493830,0.84485142342257790737,0.50247880613786932713
0.26,-0.00670364294538020045,-0.98521851497296708544,-0.84995391508012840820,0.49749107098176081898,0.85573538885874700366,0.48641243542122997168
0.28,-0.02607906224221404057,-0.98648069290846540635,-0.84137926981124921966,0.51475572637461231018,0.86637971015880077541,0.47020820819858366590
0.30,-0.04545164444373628321,-0.98747768152331527602,-0.83257936654084740979,0.53187498441860081577,0.87678250052101958101,0.45387125480671874911
0.32,-0.06481627077058438324,-0.98821045150434716486,-0.82355779507095905334,0.54884499090373894958,0.88694202722976023257,0.43740670464994824140
0.34,-0.08416789602027596739,-0.98868010227452485239,-0.81431821563023731869,0.56566202394763931416,0.89685671165545621797,0.42081968620011078741
0.36,-0.10350154856720958363,-0.98888786199294487211,-0.80486435887395213484,0.58232249399551561098,0.90652512925461747884,0.40411532699657060075
0.38,-0.12281233036266459013,-0.98883508755483673358,-0.79520002588398985832,0.59882294382018197432,0.91594600956983052154,0.38729875364621646483
0.40,-0.14209541693480076674,-0.98852326459156292238,-0.78532908816885438341,0.61516004852205308229,0.92511823622975852821,0.37037509182346306513
0.42,-0.16134605738865820390,-0.98795400747061934421,-0.77525548766366592091,0.63133061552914426784,0.93404084694914102371,0.35334946627025054511
0.44,-0.18055957440615882925,-0.98712905929563421470,-0.76498323673016144220,0.64733158459707185184,0.94271303352879454174,0.33622700079604339596
0.46,-0.19973136424610399287,-0.98605029190636916958,-0.75451641815669501234,0.66316002780905214387,0.95113414185561173664,0.31901281827783239953
0.48,-0.21885689674417674322,-0.98471970587871882064,-0.74385918515823734598,0.67881314957590288550,0.95930367190256227161,0.30171204066013296297
